"Field ",Feld
" is required.","ist erforderlich."
Enabled,Aktiviert
"Method Name",Methodenname
Price,Preis
"Calculate Handling Fee","Versandart zeigen, auch wenn nicht möglich"
"Handling Fee",Bearbeitungsgebühr
"Sort Order",Sortierreihenfolge
Title,Titel
Type,Art
"Ship to Applicable Countries","Verschicken an erlaubte Länder"
"Ship to Specific Countries","Versand zu bestimmten Ländern"
"Show Method if Not Applicable","Methode auch anzeigen, wenn sie nicht zutreffend ist"
"Displayed Error Message","Angezeigte Fehlermeldung"
